timestamp,heart_rate,activity_level,alert
2023-01-01 00:00:00,62.483570765056164,low,0
2023-01-01 00:01:00,59.308678494144075,low,0
2023-01-01 00:02:00,63.23844269050346,medium,0
2023-01-01 00:03:00,67.61514928204012,medium,0
2023-01-01 00:04:00,58.82923312638332,low,0
2023-01-01 00:05:00,58.8293152152541,high,0
2023-01-01 00:06:00,67.89606407753696,low,0
2023-01-01 00:07:00,63.837173645764544,medium,0
2023-01-01 00:08:00,57.65262807032524,medium,0
2023-01-01 00:09:00,62.712800217929825,high,0
2023-01-01 00:10:00,57.68291153593769,medium,0
2023-01-01 00:11:00,57.671351232148716,high,0
2023-01-01 00:12:00,61.20981135783017,low,0
2023-01-01 00:13:00,50.43359877671101,high,0
2023-01-01 00:14:00,51.375410837434835,low,0
2023-01-01 00:15:00,57.188562353795135,high,0
2023-01-01 00:16:00,54.93584439832788,medium,0
2023-01-01 00:17:00,61.57123666297637,high,0
2023-01-01 00:18:00,55.45987962239394,low,0
2023-01-01 00:19:00,52.93848149332354,medium,0
2023-01-01 00:20:00,67.32824384460777,medium,0
2023-01-01 00:21:00,58.87111849756732,medium,0
2023-01-01 00:22:00,60.337641023439616,low,0
2023-01-01 00:23:00,52.87625906893272,low,0
2023-01-01 00:24:00,57.27808637737409,low,0
2023-01-01 00:25:00,60.554612948549334,low,0
2023-01-01 00:26:00,54.24503211288849,high,0
2023-01-01 00:27:00,61.87849009172836,low,0
2023-01-01 00:28:00,56.99680655040598,high,0
2023-01-01 00:29:00,58.54153125103362,low,0
2023-01-01 00:30:00,56.991466938853016,low,0
2023-01-01 00:31:00,69.26139092254469,medium,0
2023-01-01 00:32:00,59.93251387631033,medium,0
2023-01-01 00:33:00,54.7114453552205,low,0
2023-01-01 00:34:00,64.11272456051594,medium,0
2023-01-01 00:35:00,53.89578175014489,medium,0
2023-01-01 00:36:00,61.04431797502378,low,0
2023-01-01 00:37:00,50.201649380601125,high,0
2023-01-01 00:38:00,53.359069755507846,high,0
2023-01-01 00:39:00,60.984306179345616,medium,0
2023-01-01 00:40:00,63.69233289997705,low,0
2023-01-01 00:41:00,60.85684140594985,medium,0
2023-01-01 00:42:00,59.4217585880588,low,0
2023-01-01 00:43:00,58.494481522053555,low,0
2023-01-01 00:44:00,52.60739004816286,low,0
2023-01-01 00:45:00,56.40077895802646,low,0
2023-01-01 00:46:00,57.696806145201066,high,0
2023-01-01 00:47:00,65.28561113109458,medium,0
2023-01-01 00:48:00,61.718091447842305,medium,0
2023-01-01 00:49:00,51.18479922318633,low,0
2023-01-01 00:50:00,61.620419846973974,low,0
2023-01-01 00:51:00,58.07458859791842,low,0
2023-01-01 00:52:00,56.61538999847021,high,0
2023-01-01 00:53:00,63.058381444204336,low,0
2023-01-01 00:54:00,65.15499761247976,high,0
2023-01-01 00:55:00,64.65640059558099,medium,0
2023-01-01 00:56:00,55.80391238388681,low,0
2023-01-01 00:57:00,58.45393812074393,medium,0
2023-01-01 00:58:00,61.65631715701782,low,0
2023-01-01 00:59:00,64.8777256356118,high,0
2023-01-01 01:00:00,57.60412881077355,high,0
2023-01-01 01:01:00,59.07170511668092,low,0
2023-01-01 01:02:00,54.468325129969855,low,0
2023-01-01 01:03:00,54.01896687959665,medium,0
2023-01-01 01:04:00,64.06262911197099,high,0
2023-01-01 01:05:00,66.78120014285412,low,0
2023-01-01 01:06:00,59.63994939209833,medium,0
2023-01-01 01:07:00,65.01766448946012,medium,0
2023-01-01 01:08:00,61.808180125238174,medium,0
2023-01-01 01:09:00,56.774401226974376,low,0
2023-01-01 01:10:00,61.80697802754207,medium,0
2023-01-01 01:11:00,67.69018283232984,high,0
2023-01-01 01:12:00,59.82086980445024,low,0
2023-01-01 01:13:00,67.82321827907003,low,0
2023-01-01 01:14:00,46.901274479551276,high,0
2023-01-01 01:15:00,64.10951252187611,low,0
2023-01-01 01:16:00,60.435235341190854,high,0
2023-01-01 01:17:00,58.50496324767066,low,0
2023-01-01 01:18:00,60.458803882677515,low,0
2023-01-01 01:19:00,50.06215542699554,high,0
2023-01-01 01:20:00,58.90164056081244,low,0
2023-01-01 01:21:00,61.78556285755873,medium,0
2023-01-01 01:22:00,67.38947022370758,low,0
2023-01-01 01:23:00,57.40864890863176,medium,0
2023-01-01 01:24:00,55.95753198553406,low,0
2023-01-01 01:25:00,57.491214782077314,low,0
2023-01-01 01:26:00,64.57701058851038,high,0
2023-01-01 01:27:00,61.64375554829842,low,0
2023-01-01 01:28:00,57.351198981164806,medium,0
2023-01-01 01:29:00,62.56633716556678,low,0
2023-01-01 01:30:00,60.4853877467402,medium,0
2023-01-01 01:31:00,64.84322495266444,low,0
2023-01-01 01:32:00,56.48973453061324,high,0
2023-01-01 01:33:00,58.36168926701116,low,0
2023-01-01 01:34:00,58.03945923433921,low,0
2023-01-01 01:35:00,52.68242525933941,low,0
2023-01-01 01:36:00,61.48060138532288,low,0
2023-01-01 01:37:00,61.30527636089945,medium,0
2023-01-01 01:38:00,60.025567283212304,low,0
2023-01-01 01:39:00,58.82706433312426,high,0
2023-01-01 01:40:00,52.923146289747926,low,0
2023-01-01 01:41:00,57.89677338617321,low,0
2023-01-01 01:42:00,58.286427417366156,medium,0
2023-01-01 01:43:00,55.9886136538919,medium,0
2023-01-01 01:44:00,59.19357144166995,low,0
2023-01-01 01:45:00,62.02025428407269,low,0
2023-01-01 01:46:00,69.43092950605265,low,0
2023-01-01 01:47:00,60.872889064159196,medium,0
2023-01-01 01:48:00,61.28775195361382,medium,0
2023-01-01 01:49:00,59.62777042116917,low,0
2023-01-01 01:50:00,50.40614392350479,high,0
2023-01-01 01:51:00,59.867430622753915,high,0
2023-01-01 01:52:00,60.30115104970513,medium,0
2023-01-01 01:53:00,72.31621056242643,high,1
2023-01-01 01:54:00,59.03819517609439,low,0
2023-01-01 01:55:00,61.50773671166806,low,0
2023-01-01 01:56:00,59.82644115147378,low,0
2023-01-01 01:57:00,54.15660981190234,low,0
2023-01-01 01:58:00,65.7141140725751,medium,0
2023-01-01 01:59:00,63.75966516343387,high,0
2023-01-01 02:00:00,63.95515973521523,low,0
